user_id,gender,data_of_birth,premium_pupil
66,1,2002-12-01 00:00:00.000,
447,2,,
422,1,2006-08-01 00:00:00.000,
302,2,2009-07-01 00:00:00.000,0.0
361,1,,
178,1,2004-04-01 00:00:00.000,
234,2,2004-05-01 00:00:00.000,0.0
210,2,2004-04-01 00:00:00.000,0.0
62,0,,
465,1,2007-06-01 00:00:00.000,0.0
99,2,2004-04-01 00:00:00.000,1.0
263,1,,
520,2,2008-07-01 00:00:00.000,
12,2,2002-03-01 00:00:00.000,
476,1,2006-03-01 00:00:00.000,0.0
231,1,,
121,2,2005-09-01 00:00:00.000,0.0
317,1,2008-01-01 00:00:00.000,
97,1,2006-04-01 00:00:00.000,
145,2,2003-10-01 00:00:00.000,0.0
508,1,2005-12-01 00:00:00.000,
526,1,2016-09-01 00:00:00.000,
451,2,2007-08-01 00:00:00.000,0.0
306,2,2004-10-01 00:00:00.000,0.0
388,0,,
419,1,,
435,2,,
277,2,2008-07-01 00:00:00.000,
7,1,,
102,0,,
364,2,2007-08-01 00:00:00.000,1.0
135,1,2006-11-01 00:00:00.000,0.0
138,1,2006-03-01 00:00:00.000,0.0
228,2,2003-08-01 00:00:00.000,
318,2,2004-05-01 00:00:00.000,1.0
246,1,2003-07-01 00:00:00.000,0.0
376,1,,
59,0,2004-08-01 00:00:00.000,
390,2,,
65,1,2004-05-01 00:00:00.000,0.0
53,1,2004-01-01 00:00:00.000,0.0
485,0,,
136,1,2004-08-01 00:00:00.000,0.0
96,0,,
403,2,,
156,2,2003-10-01 00:00:00.000,0.0
470,2,2007-06-01 00:00:00.000,
227,2,2006-04-01 00:00:00.000,
172,0,,
130,1,2005-02-01 00:00:00.000,
170,2,2004-08-01 00:00:00.000,0.0
27,1,2008-09-01 00:00:00.000,0.0
100,1,2008-08-01 00:00:00.000,
245,2,,
147,1,2004-11-01 00:00:00.000,0.0
265,2,2004-09-01 00:00:00.000,0.0
260,1,2006-01-01 00:00:00.000,
269,1,2004-07-01 00:00:00.000,1.0
22,0,,
500,1,2006-11-01 00:00:00.000,
14,1,2004-04-01 00:00:00.000,
11,0,,
432,0,,
171,1,2006-12-01 00:00:00.000,0.0
313,1,,
524,2,2008-07-01 00:00:00.000,1.0
239,1,2004-10-01 00:00:00.000,1.0
395,1,2004-12-01 00:00:00.000,
440,2,2004-07-01 00:00:00.000,
10,1,,
449,0,,
248,1,2004-04-01 00:00:00.000,
324,1,2008-07-01 00:00:00.000,1.0
396,1,2007-05-01 00:00:00.000,0.0
42,1,2006-05-01 00:00:00.000,
174,1,2006-07-01 00:00:00.000,
535,0,,
55,0,,
221,1,2004-05-01 00:00:00.000,
161,1,2005-11-01 00:00:00.000,
279,1,,
326,2,2004-06-01 00:00:00.000,0.0
232,2,2003-10-01 00:00:00.000,0.0
200,1,2005-06-01 00:00:00.000,
354,2,,
538,1,2008-10-01 00:00:00.000,
315,2,2004-07-01 00:00:00.000,
94,2,2006-12-01 00:00:00.000,
502,2,2007-10-01 00:00:00.000,1.0
345,1,2004-08-01 00:00:00.000,
18,1,2006-08-01 00:00:00.000,
369,0,,
425,0,,
209,1,2005-07-01 00:00:00.000,
467,1,1990-08-01 00:00:00.000,
501,2,2004-02-01 00:00:00.000,
230,2,2004-05-01 00:00:00.000,
69,1,,
321,2,2006-03-01 00:00:00.000,1.0
29,1,2009-02-01 00:00:00.000,
494,1,2008-05-01 00:00:00.000,
167,2,2003-11-01 00:00:00.000,0.0
183,2,2007-11-01 00:00:00.000,
119,1,,
392,0,,
91,2,,
471,1,2003-11-01 00:00:00.000,
431,1,2004-05-01 00:00:00.000,
541,1,2010-11-01 00:00:00.000,0.0
389,2,2004-03-01 00:00:00.000,
6,2,2003-06-01 00:00:00.000,0.0
276,0,,
414,1,,
377,2,2007-11-01 00:00:00.000,1.0
372,1,2008-02-01 00:00:00.000,
417,1,2005-09-01 00:00:00.000,1.0
290,2,,
335,0,2005-01-01 00:00:00.000,
25,1,2005-05-01 00:00:00.000,0.0
463,2,2000-02-01 00:00:00.000,
229,2,2004-04-01 00:00:00.000,0.0
112,2,2003-10-01 00:00:00.000,0.0
496,1,,
370,0,,
459,0,,
491,1,2004-01-01 00:00:00.000,1.0
540,1,2005-10-01 00:00:00.000,0.0
289,1,2006-08-01 00:00:00.000,1.0
237,1,2003-05-01 00:00:00.000,0.0
184,2,,
483,2,,
283,0,,
201,1,2004-07-01 00:00:00.000,
224,1,,
434,2,2006-07-01 00:00:00.000,0.0
197,1,2008-04-01 00:00:00.000,
474,2,2001-08-01 00:00:00.000,
394,2,2004-03-01 00:00:00.000,0.0
517,2,2002-09-01 00:00:00.000,
169,1,2005-03-01 00:00:00.000,
322,2,2005-10-01 00:00:00.000,1.0
350,2,2006-12-01 00:00:00.000,
258,1,,
212,2,2002-11-01 00:00:00.000,
480,2,,
4,2,2004-01-01 00:00:00.000,0.0
472,0,,
514,1,,
13,1,2008-01-01 00:00:00.000,
532,0,,
241,2,2004-02-01 00:00:00.000,
194,0,,
256,2,2006-10-01 00:00:00.000,0.0
273,0,,
462,1,,
75,1,2005-07-01 00:00:00.000,0.0
34,0,,
153,1,2005-05-01 00:00:00.000,
117,2,2006-11-01 00:00:00.000,
233,2,2006-08-01 00:00:00.000,
79,2,2007-10-01 00:00:00.000,0.0
286,1,2005-09-01 00:00:00.000,1.0
107,0,,
92,1,2005-08-01 00:00:00.000,
16,2,2007-04-01 00:00:00.000,
285,2,,
166,1,2006-05-01 00:00:00.000,
495,1,2006-07-01 00:00:00.000,
33,1,,
46,2,,
205,0,,
481,1,2005-11-01 00:00:00.000,
461,1,,
110,2,2009-09-01 00:00:00.000,0.0
159,1,2005-03-01 00:00:00.000,
456,0,2007-11-01 00:00:00.000,
274,1,2007-11-01 00:00:00.000,0.0
83,2,2007-06-01 00:00:00.000,0.0
236,1,2009-08-01 00:00:00.000,
316,2,,
360,1,2005-04-01 00:00:00.000,
1,1,2001-01-01 00:00:00.000,
504,2,2026-04-01 00:00:00.000,
408,0,,
132,0,,
497,2,2002-11-01 00:00:00.000,
346,0,,
487,1,2008-07-01 00:00:00.000,0.0
113,1,2005-09-01 00:00:00.000,1.0
452,2,2007-10-01 00:00:00.000,0.0
368,1,,
44,2,2004-06-01 00:00:00.000,0.0
537,0,,
118,0,,
133,0,,
73,0,,
148,0,,
189,0,2004-12-01 00:00:00.000,
140,0,,
330,0,,
134,2,2004-06-01 00:00:00.000,0.0
111,0,2008-12-01 00:00:00.000,
407,1,2005-06-01 00:00:00.000,0.0
358,2,2005-06-01 00:00:00.000,1.0
498,2,2001-08-01 00:00:00.000,
192,2,,
320,1,2004-02-01 00:00:00.000,0.0
70,1,2008-10-01 00:00:00.000,
24,2,2008-03-01 00:00:00.000,0.0
270,1,2003-11-01 00:00:00.000,
488,2,2006-06-01 00:00:00.000,0.0
516,1,,
211,1,2005-06-01 00:00:00.000,
323,2,,
40,1,,
365,2,2004-04-01 00:00:00.000,0.0
127,1,2010-10-01 00:00:00.000,
411,0,,
180,2,2005-08-01 00:00:00.000,
254,2,2003-10-01 00:00:00.000,0.0
84,2,,
215,1,,
109,1,2004-04-01 00:00:00.000,0.0
235,2,2007-11-01 00:00:00.000,
380,0,,
450,2,2003-06-01 00:00:00.000,
264,1,2003-09-01 00:00:00.000,
386,0,,
530,1,,
444,2,2006-04-01 00:00:00.000,0.0
468,2,2005-07-01 00:00:00.000,
523,1,2009-12-01 00:00:00.000,
114,1,2008-08-01 00:00:00.000,0.0
240,1,,
297,2,2005-01-01 00:00:00.000,
98,0,,
412,1,2004-12-01 00:00:00.000,
509,0,,
355,0,,
359,0,,
158,2,2005-02-01 00:00:00.000,
529,1,2008-05-01 00:00:00.000,0.0
243,1,2019-09-01 00:00:00.000,
457,1,2004-04-01 00:00:00.000,
327,2,2006-08-01 00:00:00.000,
405,2,2004-06-01 00:00:00.000,0.0
421,2,2005-07-01 00:00:00.000,
68,1,,
288,2,2008-05-01 00:00:00.000,
47,2,,
267,0,,
176,2,2004-06-01 00:00:00.000,
280,0,,
20,1,1985-02-01 00:00:00.000,
328,1,2002-03-01 00:00:00.000,
442,2,,
149,2,2006-03-01 00:00:00.000,1.0
413,1,2007-07-01 00:00:00.000,
206,1,2006-11-01 00:00:00.000,
378,1,2007-03-01 00:00:00.000,0.0
251,0,,
375,1,2004-08-01 00:00:00.000,1.0
382,1,2005-03-01 00:00:00.000,0.0
409,2,2005-06-01 00:00:00.000,0.0
343,1,2006-04-01 00:00:00.000,1.0
137,2,2004-04-01 00:00:00.000,1.0
366,1,1999-11-01 00:00:00.000,
528,1,2004-10-01 00:00:00.000,1.0
272,1,2008-08-01 00:00:00.000,
202,0,,
115,1,2004-07-01 00:00:00.000,
331,0,,
154,2,2004-06-01 00:00:00.000,
143,1,2003-07-01 00:00:00.000,
423,0,,
351,0,,
82,1,,
196,1,2007-01-01 00:00:00.000,0.0
226,2,2005-11-01 00:00:00.000,0.0
455,0,,
381,2,2006-11-01 00:00:00.000,
71,0,,
521,2,2009-04-01 00:00:00.000,0.0
60,1,2007-01-01 00:00:00.000,0.0
349,0,,
329,1,,
259,0,,
295,1,,
332,0,,
32,1,2008-10-01 00:00:00.000,
356,2,2002-09-01 00:00:00.000,
15,2,2006-07-01 00:00:00.000,
454,0,2003-07-01 00:00:00.000,
278,0,,
104,1,2004-12-01 00:00:00.000,
168,0,,
325,1,2005-11-01 00:00:00.000,0.0
460,1,2006-03-01 00:00:00.000,
271,0,2003-06-01 00:00:00.000,
181,0,,
379,0,,
446,2,2008-01-01 00:00:00.000,
57,2,2006-08-01 00:00:00.000,
319,2,2006-05-01 00:00:00.000,
23,2,,
101,2,2007-08-01 00:00:00.000,
519,2,,
191,1,2003-02-01 00:00:00.000,0.0
441,2,2005-03-01 00:00:00.000,
88,1,2006-04-01 00:00:00.000,0.0
204,2,2002-09-01 00:00:00.000,
292,2,2008-04-01 00:00:00.000,
433,0,,
284,1,2006-01-01 00:00:00.000,0.0
309,2,2009-02-01 00:00:00.000,
387,2,2004-01-01 00:00:00.000,
187,2,2010-04-01 00:00:00.000,
281,0,,
216,2,2009-07-01 00:00:00.000,0.0
39,1,2004-02-01 00:00:00.000,0.0
353,1,2004-10-01 00:00:00.000,
87,2,2007-07-01 00:00:00.000,
453,2,2008-04-01 00:00:00.000,0.0
400,2,2004-03-01 00:00:00.000,0.0
466,0,,
464,0,,
503,2,2003-11-01 00:00:00.000,0.0
275,1,2006-04-01 00:00:00.000,0.0
402,0,,
429,1,2006-06-01 00:00:00.000,
175,2,2004-04-01 00:00:00.000,
293,0,,
430,0,,
303,2,2004-03-01 00:00:00.000,0.0
17,2,2006-01-01 00:00:00.000,1.0
223,2,2005-02-01 00:00:00.000,
9,2,2005-12-01 00:00:00.000,0.0
162,2,2005-08-01 00:00:00.000,
28,1,2007-08-01 00:00:00.000,1.0
473,1,2011-08-01 00:00:00.000,1.0
128,1,2008-04-01 00:00:00.000,
222,2,2006-12-01 00:00:00.000,0.0
186,2,2008-08-01 00:00:00.000,
445,0,,
244,1,,
482,1,2005-09-01 00:00:00.000,
5,0,,
225,1,2007-08-01 00:00:00.000,
294,2,2004-02-01 00:00:00.000,
152,0,,
398,1,2007-02-01 00:00:00.000,
58,2,2004-07-01 00:00:00.000,0.0
165,0,,
105,1,2006-09-01 00:00:00.000,0.0
291,1,2008-01-01 00:00:00.000,
307,1,2002-10-01 00:00:00.000,
64,1,2005-06-01 00:00:00.000,
436,1,2006-01-01 00:00:00.000,
78,0,2003-09-01 00:00:00.000,
74,2,2006-03-01 00:00:00.000,0.0
437,1,2004-07-01 00:00:00.000,
177,2,2004-01-01 00:00:00.000,0.0
334,2,2005-04-01 00:00:00.000,0.0
19,1,2004-11-01 00:00:00.000,
311,1,2007-09-01 00:00:00.000,
384,1,2004-06-01 00:00:00.000,
95,0,,
404,1,2004-12-01 00:00:00.000,0.0
506,1,2003-09-01 00:00:00.000,0.0
397,1,2006-02-01 00:00:00.000,0.0
333,2,2004-06-01 00:00:00.000,1.0
220,2,2004-02-01 00:00:00.000,0.0
125,1,2009-06-01 00:00:00.000,1.0
37,1,2007-10-01 00:00:00.000,
218,1,2006-06-01 00:00:00.000,
415,2,2005-01-01 00:00:00.000,
219,2,2005-08-01 00:00:00.000,
443,1,2020-09-01 00:00:00.000,
438,0,,
157,1,,
51,2,2005-12-01 00:00:00.000,0.0
469,2,2005-12-01 00:00:00.000,1.0
439,0,,
48,1,2004-07-01 00:00:00.000,0.0
478,0,2006-12-01 00:00:00.000,
253,2,2009-05-01 00:00:00.000,0.0
340,2,2007-04-01 00:00:00.000,
80,2,,
533,1,2004-06-01 00:00:00.000,
195,2,2007-08-01 00:00:00.000,0.0
374,0,,
3,1,2005-09-01 00:00:00.000,0.0
427,1,2008-12-01 00:00:00.000,
38,1,2003-10-01 00:00:00.000,0.0
342,1,,
164,1,2006-02-01 00:00:00.000,0.0
146,1,2003-11-01 00:00:00.000,
150,1,2008-01-01 00:00:00.000,1.0
142,2,2006-09-01 00:00:00.000,
373,2,2009-06-01 00:00:00.000,1.0
406,1,2013-05-01 00:00:00.000,0.0
217,1,,
179,1,2007-09-01 00:00:00.000,0.0
424,1,2004-12-01 00:00:00.000,0.0
341,2,2005-04-01 00:00:00.000,
49,2,2005-01-01 00:00:00.000,0.0
484,2,2005-03-01 00:00:00.000,
310,1,2007-11-01 00:00:00.000,1.0
410,2,2008-07-01 00:00:00.000,0.0
199,2,2019-06-01 00:00:00.000,
129,0,,
86,2,,
108,0,,
213,0,,
362,1,2008-04-01 00:00:00.000,
348,2,2010-05-01 00:00:00.000,
448,1,,
90,2,,
262,1,2005-02-01 00:00:00.000,
35,2,,
527,2,2006-10-01 00:00:00.000,0.0
515,0,,
475,0,,
30,0,,
477,2,,
257,2,2004-02-01 00:00:00.000,0.0
296,2,,
426,2,,
525,1,2007-06-01 00:00:00.000,
250,2,2004-08-01 00:00:00.000,1.0
489,1,2008-05-01 00:00:00.000,0.0
337,0,,
531,0,,
357,2,2007-07-01 00:00:00.000,0.0
347,1,,
301,2,2005-02-01 00:00:00.000,0.0
367,1,,
363,0,,
151,0,,
63,0,,
312,1,2007-05-01 00:00:00.000,1.0
81,1,2007-09-01 00:00:00.000,
0,2,2004-04-01 00:00:00.000,
536,1,2005-04-01 00:00:00.000,
492,1,2004-06-01 00:00:00.000,0.0
522,2,2004-09-01 00:00:00.000,0.0
490,2,2007-01-01 00:00:00.000,0.0
391,0,,
103,1,2007-04-01 00:00:00.000,
188,1,,
124,1,,
513,1,2003-10-01 00:00:00.000,
510,2,2011-07-01 00:00:00.000,
339,2,2006-07-01 00:00:00.000,
287,1,2005-12-01 00:00:00.000,
512,1,2008-07-01 00:00:00.000,
428,2,2003-06-01 00:00:00.000,
120,1,2004-02-01 00:00:00.000,
418,2,2001-11-01 00:00:00.000,1.0
56,1,2005-06-01 00:00:00.000,0.0
238,2,2005-05-01 00:00:00.000,
72,1,2006-08-01 00:00:00.000,0.0
247,1,2004-02-01 00:00:00.000,0.0
371,1,2008-03-01 00:00:00.000,
198,0,,
314,1,2006-02-01 00:00:00.000,0.0
499,2,2008-07-01 00:00:00.000,1.0
298,0,,
106,2,,
385,0,,
139,2,2005-03-01 00:00:00.000,0.0
534,1,2008-12-01 00:00:00.000,
458,2,2003-08-01 00:00:00.000,
52,1,,
131,2,2007-08-01 00:00:00.000,
67,2,2004-11-01 00:00:00.000,
352,0,,
85,1,2005-07-01 00:00:00.000,
308,0,,
518,1,,
26,2,2006-05-01 00:00:00.000,
116,1,2007-08-01 00:00:00.000,0.0
31,2,2005-09-01 00:00:00.000,0.0
122,1,2005-09-01 00:00:00.000,0.0
36,1,2006-12-01 00:00:00.000,
173,0,,
123,2,2005-08-01 00:00:00.000,0.0
144,1,2007-06-01 00:00:00.000,0.0
266,2,,
43,2,2005-10-01 00:00:00.000,0.0
344,1,2004-06-01 00:00:00.000,
505,1,2004-02-01 00:00:00.000,0.0
493,1,2008-08-01 00:00:00.000,1.0
338,1,2006-02-01 00:00:00.000,0.0
300,2,2004-04-01 00:00:00.000,0.0
163,2,2009-06-01 00:00:00.000,1.0
45,0,,
242,0,2019-01-01 00:00:00.000,
41,0,,
416,1,2004-08-01 00:00:00.000,0.0
299,1,2003-12-01 00:00:00.000,
305,1,2005-03-01 00:00:00.000,
399,1,2003-12-01 00:00:00.000,
93,0,,
182,1,2006-01-01 00:00:00.000,0.0
61,1,2003-09-01 00:00:00.000,
486,1,2004-01-01 00:00:00.000,0.0
252,2,2004-09-01 00:00:00.000,0.0
2,0,,
261,2,,
336,2,2005-07-01 00:00:00.000,
207,2,2003-04-01 00:00:00.000,
304,1,2004-10-01 00:00:00.000,1.0
8,0,,
50,2,2007-07-01 00:00:00.000,
507,0,,
141,0,2010-01-01 00:00:00.000,
393,1,2006-10-01 00:00:00.000,
76,0,,
203,2,2007-10-01 00:00:00.000,0.0
383,0,,
160,1,2003-09-01 00:00:00.000,0.0
255,2,2007-07-01 00:00:00.000,0.0
214,2,2005-03-01 00:00:00.000,
21,2,2005-05-01 00:00:00.000,0.0
190,1,2008-06-01 00:00:00.000,
401,1,2005-08-01 00:00:00.000,
268,0,,
208,0,,
89,2,2007-01-01 00:00:00.000,
77,2,2005-07-01 00:00:00.000,
193,1,2004-08-01 00:00:00.000,
479,2,2007-05-01 00:00:00.000,0.0
420,2,2002-10-01 00:00:00.000,
539,1,,
282,2,2004-04-01 00:00:00.000,1.0
126,1,2007-04-01 00:00:00.000,
155,1,2010-12-01 00:00:00.000,0.0
54,2,2007-05-01 00:00:00.000,
511,2,2006-04-01 00:00:00.000,0.0
185,2,2010-08-01 00:00:00.000,
249,2,,
